2025-08-07 16:02:50.007 +05:30 [WRN] Failed to determine the https port for redirect.
2025-08-07 16:02:50.049 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 63.0122 ms
2025-08-07 16:02:50.049 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-manager/2 responded 204 in 63.0041 ms
2025-08-07 16:02:50.049 +05:30 [INF] HTTP OPTIONS /lowstock-notifications/negotiate responded 204 in 63.0079 ms
2025-08-07 16:02:50.185 +05:30 [INF] HTTP GET /api/v1/Products responded 401 in 109.6771 ms
2025-08-07 16:02:50.185 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-manager/2 responded 401 in 109.6476 ms
2025-08-07 16:02:51.407 +05:30 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.2614 ms
2025-08-07 16:02:52.993 +05:30 [INF] HTTP POST /lowstock-notifications/negotiate responded 200 in 2921.3754 ms
2025-08-07 16:02:54.786 +05:30 [INF] HTTP POST /api/v1/Auth/login responded 200 in 3376.6053 ms
2025-08-07 16:02:54.790 +05:30 [INF] HTTP OPTIONS /api/v1/Users/by-username/Bob responded 204 in 0.0588 ms
2025-08-07 16:02:55.270 +05:30 [INF] HTTP GET /api/v1/Users/by-username/Bob responded 200 in 477.7407 ms
2025-08-07 16:02:55.278 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-manager/2 responded 204 in 0.0702 ms
2025-08-07 16:02:55.278 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 0.0391 ms
2025-08-07 16:02:55.684 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-manager/2 responded 200 in 405.3028 ms
2025-08-07 16:02:56.056 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 776.7184 ms
2025-08-07 16:02:56.058 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/1 responded 204 in 0.0895 ms
2025-08-07 16:02:56.059 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/7 responded 204 in 0.0322 ms
2025-08-07 16:02:56.059 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/8 responded 204 in 0.0384 ms
2025-08-07 16:02:56.429 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 367.3201 ms
2025-08-07 16:02:56.429 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/8 responded 200 in 367.3162 ms
2025-08-07 16:02:56.663 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/7 responded 200 in 600.9655 ms
2025-08-07 16:03:00.107 +05:30 [INF] HTTP GET /lowstock-notifications responded 101 in 7108.8440 ms
2025-08-07 16:03:00.200 +05:30 [INF] HTTP OPTIONS /lowstock-notifications/negotiate responded 204 in 0.1948 ms
2025-08-07 16:03:00.475 +05:30 [INF] HTTP POST /lowstock-notifications/negotiate responded 200 in 273.9246 ms
2025-08-07 16:03:00.479 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 270.8022 ms
2025-08-07 16:03:00.480 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-manager/2 responded 200 in 271.2166 ms
2025-08-07 16:03:01.123 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 641.2104 ms
2025-08-07 16:03:01.363 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/7 responded 200 in 881.4860 ms
2025-08-07 16:03:01.482 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/8 responded 200 in 1000.1234 ms
2025-08-07 16:03:05.032 +05:30 [INF] HTTP OPTIONS /api/v1/Categories responded 204 in 0.2551 ms
2025-08-07 16:03:05.032 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 0.0476 ms
2025-08-07 16:03:05.346 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 311.2646 ms
2025-08-07 16:03:05.390 +05:30 [INF] HTTP GET /api/v1/Categories responded 200 in 355.7288 ms
2025-08-07 16:03:12.233 +05:30 [INF] HTTP OPTIONS /api/v1/Inventories responded 204 in 0.0795 ms
2025-08-07 16:03:12.551 +05:30 [INF] HTTP GET /api/v1/Inventories responded 200 in 316.4820 ms
2025-08-07 16:03:12.798 +05:30 [INF] HTTP GET /api/v1/Inventories responded 200 in 246.4428 ms
2025-08-07 16:03:21.612 +05:30 [INF] HTTP OPTIONS /api/v1/Categories responded 204 in 0.0901 ms
2025-08-07 16:03:21.613 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 0.0387 ms
2025-08-07 16:03:21.873 +05:30 [INF] HTTP GET /api/v1/Categories responded 200 in 259.4812 ms
2025-08-07 16:03:21.874 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 259.6796 ms
2025-08-07 16:03:22.620 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-manager/2 responded 204 in 0.0888 ms
2025-08-07 16:03:22.621 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 0.0632 ms
2025-08-07 16:03:22.973 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 350.7171 ms
2025-08-07 16:03:22.974 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-manager/2 responded 200 in 352.4422 ms
2025-08-07 16:03:22.975 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/1 responded 204 in 0.0634 ms
2025-08-07 16:03:22.975 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/7 responded 204 in 0.0405 ms
2025-08-07 16:03:22.976 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/8 responded 204 in 0.0231 ms
2025-08-07 16:03:23.267 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/7 responded 200 in 290.4854 ms
2025-08-07 16:03:23.267 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/8 responded 200 in 290.4146 ms
2025-08-07 16:03:23.267 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 290.6493 ms
2025-08-07 16:03:32.242 +05:30 [INF] HTTP OPTIONS /lowstock-notifications/negotiate responded 204 in 0.0986 ms
2025-08-07 16:03:32.271 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 0.0772 ms
2025-08-07 16:03:32.273 +05:30 [INF] HTTP OPTIONS /api/v1/Categories responded 204 in 0.0964 ms
2025-08-07 16:03:32.274 +05:30 [INF] HTTP OPTIONS /api/v1/Inventories responded 204 in 0.0419 ms
2025-08-07 16:03:32.274 +05:30 [INF] HTTP OPTIONS /api/v1/Users responded 204 in 0.0506 ms
2025-08-07 16:03:32.275 +05:30 [INF] HTTP OPTIONS /api/v1/Users responded 204 in 0.0321 ms
2025-08-07 16:03:32.277 +05:30 [INF] HTTP OPTIONS /api/v1/Users responded 204 in 0.0603 ms
2025-08-07 16:03:32.278 +05:30 [INF] HTTP OPTIONS /api/v1/Inventories responded 204 in 0.0425 ms
2025-08-07 16:03:32.279 +05:30 [INF] HTTP GET /api/v1/Categories responded 401 in 1.2758 ms
2025-08-07 16:03:32.279 +05:30 [INF] HTTP GET /api/v1/Products responded 401 in 1.2756 ms
2025-08-07 16:03:32.280 +05:30 [INF] HTTP GET /api/v1/Inventories responded 401 in 0.9012 ms
2025-08-07 16:03:32.280 +05:30 [INF] HTTP GET /api/v1/Users responded 401 in 0.9777 ms
2025-08-07 16:03:32.281 +05:30 [INF] HTTP GET /api/v1/Inventories responded 401 in 0.7110 ms
2025-08-07 16:03:32.283 +05:30 [INF] HTTP GET /api/v1/Users responded 401 in 0.9700 ms
2025-08-07 16:03:32.298 +05:30 [INF] HTTP GET /api/v1/Users responded 401 in 2.0016 ms
2025-08-07 16:03:32.516 +05:30 [INF] HTTP POST /lowstock-notifications/negotiate responded 200 in 271.9617 ms
2025-08-07 16:03:33.709 +05:30 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.0545 ms
2025-08-07 16:03:34.361 +05:30 [INF] HTTP POST /api/v1/Auth/login responded 200 in 650.6760 ms
2025-08-07 16:03:34.364 +05:30 [INF] HTTP OPTIONS /api/v1/Users/by-username/Alice responded 204 in 0.0475 ms
2025-08-07 16:03:34.646 +05:30 [INF] HTTP GET /api/v1/Users/by-username/Alice responded 200 in 280.7002 ms
2025-08-07 16:03:34.924 +05:30 [INF] HTTP GET /api/v1/Categories responded 200 in 260.5965 ms
2025-08-07 16:03:34.929 +05:30 [INF] HTTP GET /api/v1/Inventories responded 200 in 265.6770 ms
2025-08-07 16:03:34.932 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-inventory/1 responded 204 in 0.0325 ms
2025-08-07 16:03:34.932 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-inventory/2 responded 204 in 0.0308 ms
2025-08-07 16:03:34.932 +05:30 [INF] HTTP GET /api/v1/Inventories responded 200 in 268.7949 ms
2025-08-07 16:03:34.932 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-inventory/3 responded 204 in 0.0206 ms
2025-08-07 16:03:34.933 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 273.5108 ms
2025-08-07 16:03:34.934 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-inventory/7 responded 204 in 0.0393 ms
2025-08-07 16:03:34.935 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-inventory/8 responded 204 in 0.0264 ms
2025-08-07 16:03:35.231 +05:30 [WRN] xl1:,,,.
2025-08-07 16:03:35.234 +05:30 [INF] HTTP GET /api/v1/Users responded 200 in 570.2617 ms
2025-08-07 16:03:35.248 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-inventory/2 responded 200 in 313.0960 ms
2025-08-07 16:03:35.248 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-inventory/1 responded 200 in 312.6634 ms
2025-08-07 16:03:35.255 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-inventory/8 responded 200 in 318.8969 ms
2025-08-07 16:03:35.467 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-inventory/3 responded 200 in 531.1826 ms
2025-08-07 16:03:35.469 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-inventory/7 responded 200 in 532.6929 ms
2025-08-07 16:03:35.485 +05:30 [WRN] xl1:,,,.
2025-08-07 16:03:35.485 +05:30 [INF] HTTP GET /api/v1/Users responded 200 in 250.7269 ms
2025-08-07 16:03:35.725 +05:30 [WRN] xl1:,,,.
2025-08-07 16:03:35.726 +05:30 [INF] HTTP GET /api/v1/Users responded 200 in 239.8213 ms
2025-08-07 16:03:36.001 +05:30 [INF] HTTP GET /api/v1/Inventories responded 200 in 271.1187 ms
2025-08-07 16:03:36.003 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/1 responded 204 in 0.0442 ms
2025-08-07 16:03:36.004 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/2 responded 204 in 0.0295 ms
2025-08-07 16:03:36.004 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/3 responded 204 in 0.0199 ms
2025-08-07 16:03:36.005 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/7 responded 204 in 0.0531 ms
2025-08-07 16:03:36.005 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/8 responded 204 in 0.0305 ms
2025-08-07 16:03:36.263 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 256.6161 ms
2025-08-07 16:03:36.264 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/3 responded 200 in 257.3254 ms
2025-08-07 16:03:36.264 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/7 responded 200 in 257.6173 ms
2025-08-07 16:03:36.343 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/2 responded 200 in 337.0726 ms
2025-08-07 16:03:36.344 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/8 responded 200 in 337.2794 ms
2025-08-07 16:03:39.283 +05:30 [INF] HTTP OPTIONS /api/v1/Categories responded 204 in 0.0337 ms
2025-08-07 16:03:39.283 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 0.0336 ms
2025-08-07 16:03:39.287 +05:30 [INF] HTTP OPTIONS /api/v1/Users responded 204 in 0.0401 ms
2025-08-07 16:03:39.288 +05:30 [INF] HTTP OPTIONS /api/v1/Inventories/1 responded 204 in 0.0510 ms
2025-08-07 16:03:39.289 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-inventory/1 responded 204 in 0.0490 ms
2025-08-07 16:03:39.289 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/1 responded 204 in 0.0243 ms
2025-08-07 16:03:39.293 +05:30 [INF] HTTP GET /api/v1/Users responded 403 in 4.0281 ms
2025-08-07 16:03:39.544 +05:30 [INF] HTTP GET /api/v1/Categories responded 200 in 256.4945 ms
2025-08-07 16:03:39.583 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 292.7175 ms
2025-08-07 16:03:39.584 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-inventory/1 responded 200 in 293.1745 ms
2025-08-07 16:03:39.587 +05:30 [INF] HTTP GET /api/v1/Inventories/1 responded 200 in 295.7910 ms
2025-08-07 16:03:39.604 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 313.1761 ms
2025-08-07 16:03:40.241 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 349.1113 ms
2025-08-07 16:03:48.479 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/increase-quantity responded 204 in 0.0594 ms
2025-08-07 16:03:48.743 +05:30 [INF] User 2 authorized for operation on inventory ID 1.
2025-08-07 16:03:48.822 +05:30 [INF] Logging action for UserId: 2, TableName: InventoryProducts, RecordId: 4, ActionType: QUANTITY_INCREASE
2025-08-07 16:03:48.862 +05:30 [INF] Logging action for UserId: 2, TableName: InventoryProducts, RecordId: 4, ActionType: LOW_STOCK_ALERT
2025-08-07 16:03:48.863 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryManagers/by-manager/2 responded 204 in 0.0293 ms
2025-08-07 16:03:48.867 +05:30 [INF] HTTP PUT /api/v1/InventoryProducts/increase-quantity responded 200 in 387.0692 ms
2025-08-07 16:03:48.869 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/1 responded 204 in 0.0316 ms
2025-08-07 16:03:49.173 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-manager/2 responded 200 in 309.5182 ms
2025-08-07 16:03:49.174 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 304.6812 ms
2025-08-07 16:03:52.281 +05:30 [INF] HTTP OPTIONS /api/v1/Products responded 204 in 0.0286 ms
2025-08-07 16:03:52.561 +05:30 [INF] HTTP GET /api/v1/Products responded 200 in 278.5717 ms
2025-08-07 16:03:52.562 +05:30 [INF] HTTP GET /api/v1/InventoryManagers/by-manager/2 responded 200 in 281.1147 ms
2025-08-07 16:03:52.563 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/1 responded 204 in 0.0272 ms
2025-08-07 16:03:52.563 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/7 responded 204 in 0.0176 ms
2025-08-07 16:03:52.563 +05:30 [INF] HTTP OPTIONS /api/v1/InventoryProducts/products-in-inventory/8 responded 204 in 0.0140 ms
2025-08-07 16:03:52.859 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/8 responded 200 in 294.3096 ms
2025-08-07 16:03:52.859 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/7 responded 200 in 294.3760 ms
2025-08-07 16:03:52.859 +05:30 [INF] HTTP GET /api/v1/InventoryProducts/products-in-inventory/1 responded 200 in 294.7714 ms
2025-08-07 16:04:11.729 +05:30 [INF] HTTP GET /lowstock-notifications responded 101 in 39123.0381 ms
2025-08-07 16:04:11.731 +05:30 [INF] HTTP GET /lowstock-notifications responded 101 in 71253.7169 ms
2025-08-07 16:04:11.732 +05:30 [INF] HTTP OPTIONS /lowstock-notifications/negotiate responded 204 in 0.0395 ms
2025-08-07 16:04:11.732 +05:30 [INF] HTTP OPTIONS /lowstock-notifications/negotiate responded 204 in 0.0431 ms
2025-08-07 16:04:11.987 +05:30 [INF] HTTP POST /lowstock-notifications/negotiate responded 200 in 253.9397 ms
2025-08-07 16:04:11.991 +05:30 [INF] HTTP POST /lowstock-notifications/negotiate responded 200 in 257.9406 ms
